JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit,Vadu,Cadu,C2adu
2458725.34861,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,6232,24344,7750
2458726.35972,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,6612,25652,7955
2458732.33333,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,9106,24248,7557
2458735.32500,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,8232,22493,7206    
2458737.33055,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,6232,24692,7686
2458739.32847,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,10544,25500,8039
2458741.31110,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,11174,24665,7666
2458742.30763,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,12412,26771,8515
2458744.30972,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,11978,25327,8108
2458745.30972,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,12020,25349,8322
2458746.30694,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,11692,25102,7946
2458747.30625,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,11725,25294,7817
2458749.30001,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,9992,24522,7472
2458749.30416,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,10088,24085,7422
2458754.29791,,,,CLS,DTZ,,UCAC4 672-086818,,,UT1,0,,,14.36,,,V1490 CYG,,STD,,,,,8081,24540,7607



